epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.454,0.77738,1.52349,1.06836,0.8929,0.83371,0.91013,0.65648,0.79686,2.2929,1.06827,0.000653333,0.000653333,0.000653333
2,920.834,0.82401,1.09367,1.08094,0.75158,0.69,0.7659,0.50923,1.1743,2.30274,1.44469,0.00131129,0.00131129,0.00131129
3,1426.43,0.8798,0.93794,1.10983,0.7062,0.72109,0.72214,0.42985,1.23642,1.66839,1.52131,0.00196044,0.00196044,0.00196044
4,1924.55,0.87455,0.85836,1.10493,0.56957,0.57,0.51641,0.35505,1.37649,2.29534,1.5098,0.0019604,0.0019604,0.0019604
5,2417.01,0.85416,0.7658,1.0807,0.91217,0.865,0.93366,0.73107,0.82233,0.88599,1.12188,0.0019472,0.0019472,0.0019472
6,2923.84,0.80764,0.68043,1.07486,0.97914,0.79,0.92267,0.69855,0.98077,1.01079,1.26975,0.001934,0.001934,0.001934
7,3415.19,0.80049,0.65405,1.06831,0.93173,0.95536,0.97491,0.73882,0.90524,0.61719,1.20483,0.0019208,0.0019208,0.0019208
8,3916.45,0.79037,0.61699,1.04842,0.87633,0.95658,0.9722,0.76502,0.81387,0.60771,1.0882,0.0019076,0.0019076,0.0019076
9,4378.61,0.76484,0.57212,1.04021,0.80138,0.815,0.86519,0.62113,0.84325,0.88999,1.15761,0.0018944,0.0018944,0.0018944
10,5009.88,0.76007,0.54248,1.04034,0.91294,0.83887,0.90197,0.71629,1.13872,0.78073,1.66186,0.0018812,0.0018812,0.0018812
11,5507.25,0.75617,0.56332,1.02822,0.92481,0.92253,0.95672,0.76294,0.90798,0.71485,1.25324,0.001868,0.001868,0.001868
12,5901.46,0.73973,0.52178,1.01996,0.93241,0.925,0.96133,0.80463,0.79168,0.62614,1.09363,0.0018548,0.0018548,0.0018548
13,6294.26,0.75281,0.53168,1.03053,0.94476,0.94059,0.96867,0.75281,0.95103,0.63481,1.26874,0.0018416,0.0018416,0.0018416
14,6690.05,0.73005,0.49883,1.01951,0.97936,0.94914,0.98438,0.77202,0.87074,0.61853,1.14889,0.0018284,0.0018284,0.0018284
15,7151.44,0.67965,0.48629,0.99324,0.97009,0.97314,0.97982,0.80934,0.72287,0.492,1.07489,0.0018152,0.0018152,0.0018152
16,7627.88,0.70809,0.49249,1.0167,0.98913,0.90999,0.97205,0.78961,0.81322,0.57607,1.15756,0.001802,0.001802,0.001802
17,8128.26,0.68801,0.48873,1.00574,0.90411,0.80148,0.86617,0.67704,1.07754,0.99116,1.43941,0.0017888,0.0017888,0.0017888
18,8620.23,0.70233,0.496,1.01167,0.96889,0.93442,0.9681,0.79503,0.765,0.54064,1.12341,0.0017756,0.0017756,0.0017756
19,9106.52,0.73449,0.50083,1.01711,0.94358,0.875,0.94205,0.76341,0.79026,0.59274,1.08047,0.0017624,0.0017624,0.0017624
20,9600.8,0.71011,0.49997,1.02056,0.88599,0.905,0.95128,0.78773,0.84571,0.63281,1.21032,0.0017492,0.0017492,0.0017492
21,10083.8,0.6727,0.47367,0.99015,0.87861,0.9,0.91897,0.69979,1.09384,0.73018,1.51717,0.001736,0.001736,0.001736
22,10577,0.66352,0.45464,0.99528,0.97829,0.90144,0.96911,0.80542,0.69871,0.44127,1.08835,0.0017228,0.0017228,0.0017228
23,11061.2,0.67951,0.45395,0.98608,0.96549,0.87,0.92451,0.77169,0.81574,0.6959,1.10386,0.0017096,0.0017096,0.0017096
24,11553.3,0.65959,0.44437,0.98239,0.97936,0.94892,0.96992,0.81507,0.69611,0.4806,1.06091,0.0016964,0.0016964,0.0016964
25,12267,0.67398,0.45009,0.99791,0.91239,0.88519,0.92131,0.75325,0.98159,0.69647,1.32276,0.0016832,0.0016832,0.0016832
26,12701.2,0.67259,0.45459,0.98975,0.89304,0.885,0.9118,0.7495,0.96412,0.6916,1.39085,0.00167,0.00167,0.00167
27,13124.6,0.66063,0.43584,0.98587,0.97668,0.935,0.98687,0.82559,0.75234,0.46781,1.09348,0.0016568,0.0016568,0.0016568
28,13554.2,0.64936,0.43804,0.98528,0.96163,0.955,0.98692,0.82441,0.77149,0.52376,1.15574,0.0016436,0.0016436,0.0016436
29,13978.8,0.67562,0.45594,0.99839,0.94355,0.935,0.98175,0.79606,0.86717,0.50394,1.20255,0.0016304,0.0016304,0.0016304
30,14443.6,0.65366,0.44163,0.99274,0.96801,0.955,0.98725,0.80504,0.87039,0.52701,1.18301,0.0016172,0.0016172,0.0016172
31,14928.1,0.65661,0.44206,0.99525,0.91629,0.925,0.95941,0.78824,1.00332,0.58642,1.34571,0.001604,0.001604,0.001604
32,15425.6,0.65691,0.42738,0.98972,0.93892,0.885,0.91973,0.75031,1.01768,0.6734,1.40419,0.0015908,0.0015908,0.0015908
33,15907.9,0.64935,0.43954,0.98786,0.95099,0.9703,0.98233,0.79895,0.81538,0.52424,1.17166,0.0015776,0.0015776,0.0015776
34,16392.3,0.63797,0.43407,0.9854,0.94316,0.945,0.97207,0.83589,0.85873,0.503,1.21617,0.0015644,0.0015644,0.0015644
35,16878.1,0.64003,0.41973,0.99294,0.96933,0.94821,0.98301,0.8403,0.79159,0.4396,1.16379,0.0015512,0.0015512,0.0015512
36,17571.6,0.65602,0.41944,0.98552,0.9484,0.91901,0.96633,0.80734,0.83975,0.56031,1.13354,0.001538,0.001538,0.001538
37,18099.7,0.63191,0.42255,0.9721,0.93438,0.92555,0.97598,0.82916,0.7201,0.49074,1.05066,0.0015248,0.0015248,0.0015248
38,18594.2,0.61677,0.40944,0.97565,0.95771,0.945,0.97941,0.85188,0.59637,0.39732,0.98412,0.0015116,0.0015116,0.0015116
39,19074.3,0.62023,0.41279,0.97797,0.98032,0.945,0.98234,0.81511,0.88184,0.48524,1.31323,0.0014984,0.0014984,0.0014984
40,19551.4,0.63514,0.42,0.98162,0.96073,0.97,0.98412,0.83161,0.72895,0.49846,1.09203,0.0014852,0.0014852,0.0014852
41,20035.5,0.61466,0.41025,0.96971,0.96067,0.97697,0.98258,0.83386,0.82472,0.44874,1.17947,0.001472,0.001472,0.001472
42,20521,0.64554,0.42238,0.97929,0.96351,0.945,0.96525,0.80483,0.89457,0.59834,1.28478,0.0014588,0.0014588,0.0014588
43,21001.6,0.60996,0.40025,0.96882,0.946,0.95,0.97954,0.84292,0.72862,0.44915,1.08575,0.0014456,0.0014456,0.0014456
44,21495.3,0.62614,0.41018,0.9754,0.93842,0.955,0.96874,0.82316,0.65192,0.49832,1.02868,0.0014324,0.0014324,0.0014324
45,21991.1,0.61184,0.38381,0.95871,0.98406,0.945,0.98239,0.82296,0.83569,0.46485,1.2134,0.0014192,0.0014192,0.0014192
46,22394.1,0.61911,0.4025,0.9658,0.97926,0.94416,0.98066,0.852,0.61886,0.38524,1.01921,0.001406,0.001406,0.001406
47,22925.8,0.582,0.40466,0.95453,0.97809,0.955,0.98453,0.85704,0.57174,0.33371,0.96457,0.0013928,0.0013928,0.0013928
48,23388.8,0.60331,0.38202,0.96805,0.96311,0.91371,0.97008,0.83103,0.8869,0.56043,1.20651,0.0013796,0.0013796,0.0013796
49,23763.5,0.60416,0.39161,0.97687,0.92105,0.93331,0.96166,0.82566,0.95869,0.46818,1.36144,0.0013664,0.0013664,0.0013664
50,24131.9,0.62813,0.40314,0.97609,0.97231,0.945,0.97465,0.82659,0.67652,0.44092,1.04345,0.0013532,0.0013532,0.0013532
51,24494.2,0.60394,0.39802,0.95962,0.96017,0.96424,0.98384,0.82223,0.85662,0.47239,1.22854,0.00134,0.00134,0.00134
52,24856.9,0.58836,0.38119,0.96654,0.93729,0.925,0.95288,0.81104,0.89115,0.50375,1.25322,0.0013268,0.0013268,0.0013268
53,25220.9,0.58978,0.38283,0.94568,0.96032,0.96806,0.97907,0.81193,0.91154,0.48178,1.27562,0.0013136,0.0013136,0.0013136
54,25583.4,0.5925,0.39088,0.96401,0.96487,0.96123,0.98373,0.83242,0.78851,0.46694,1.14015,0.0013004,0.0013004,0.0013004
55,25951.3,0.5903,0.38018,0.96259,0.94855,0.92183,0.97568,0.85184,0.71761,0.44969,1.0903,0.0012872,0.0012872,0.0012872
56,26315.2,0.5864,0.38068,0.95745,0.92751,0.95956,0.98376,0.83167,0.83736,0.43953,1.1719,0.001274,0.001274,0.001274
57,26681.6,0.60434,0.3976,0.97495,0.97875,0.92117,0.97446,0.81251,0.90195,0.49581,1.23905,0.0012608,0.0012608,0.0012608
58,27048.2,0.59006,0.37386,0.9691,0.96384,0.93301,0.9778,0.83837,0.79394,0.47917,1.15799,0.0012476,0.0012476,0.0012476
59,27419.3,0.58425,0.37467,0.97013,0.93269,0.925,0.95237,0.81782,1.01246,0.5096,1.40828,0.0012344,0.0012344,0.0012344
60,27778.6,0.61348,0.38101,0.96833,0.97735,0.96,0.98054,0.82847,0.70344,0.37091,1.08386,0.0012212,0.0012212,0.0012212
61,28144.6,0.58674,0.37809,0.95753,0.91434,0.91,0.94821,0.80491,0.96395,0.57717,1.41933,0.001208,0.001208,0.001208
62,28508.4,0.61006,0.3817,0.96344,0.93691,0.96,0.98263,0.82346,0.80182,0.46217,1.1704,0.0011948,0.0011948,0.0011948
63,28876.2,0.56411,0.37383,0.94893,0.93725,0.97,0.98773,0.82868,0.78005,0.43029,1.11892,0.0011816,0.0011816,0.0011816
64,29305,0.5893,0.36662,0.96103,0.95491,0.9531,0.97855,0.82849,0.7918,0.52543,1.11567,0.0011684,0.0011684,0.0011684
65,29943.6,0.58955,0.36742,0.96581,0.96275,0.90456,0.96611,0.82007,0.77324,0.49544,1.12077,0.0011552,0.0011552,0.0011552
66,30321.2,0.57421,0.37076,0.95724,0.98882,0.965,0.98668,0.86933,0.69793,0.37405,1.065,0.001142,0.001142,0.001142
67,30696.8,0.57291,0.36894,0.94579,0.95091,0.96854,0.98088,0.8284,0.885,0.49313,1.23856,0.0011288,0.0011288,0.0011288
68,31068.1,0.58643,0.36317,0.95207,0.91138,0.92562,0.96666,0.83407,0.74986,0.55605,1.06048,0.0011156,0.0011156,0.0011156
69,31431.7,0.57293,0.37493,0.9629,0.97332,0.91193,0.96592,0.82687,0.71664,0.68691,1.07277,0.0011024,0.0011024,0.0011024
70,31801.4,0.55223,0.35267,0.93849,0.98469,0.96452,0.9882,0.86682,0.57779,0.31095,0.99193,0.0010892,0.0010892,0.0010892
71,32177.1,0.55366,0.3534,0.94737,0.9691,0.96,0.97636,0.84877,0.7047,0.38503,1.05825,0.001076,0.001076,0.001076
72,32545.3,0.54464,0.3512,0.94319,0.96595,0.885,0.94035,0.79678,0.9892,0.50826,1.40687,0.0010628,0.0010628,0.0010628
73,32914.9,0.56561,0.37092,0.94817,0.96294,0.905,0.96006,0.82457,0.88236,0.54299,1.20972,0.0010496,0.0010496,0.0010496
74,33294.8,0.56573,0.36096,0.95934,0.95109,0.97235,0.98237,0.83337,0.72208,0.4481,1.07128,0.0010364,0.0010364,0.0010364
75,33691.6,0.55354,0.34399,0.95113,0.97011,0.97381,0.98482,0.852,0.70084,0.40302,1.04512,0.0010232,0.0010232,0.0010232
76,34063.1,0.55159,0.34199,0.94611,0.96115,0.955,0.97566,0.82582,0.85029,0.42302,1.18071,0.00101,0.00101,0.00101
77,34432.9,0.54877,0.34081,0.94868,0.93178,0.95613,0.97734,0.8428,0.77226,0.47655,1.13446,0.0009968,0.0009968,0.0009968
78,34801,0.54065,0.34877,0.94378,0.95896,0.935,0.9672,0.84366,0.69833,0.44742,1.05219,0.0009836,0.0009836,0.0009836
